A	B	C	D	E	F	G	H	I	J
77.664	-26.99691	-23.92268	-20.97328	-17.36504	-14.43928	-11.85663	-8.83162	-4.89944	-2.4949
77.712	-26.99394	-23.9623	-20.94993	-17.3093	-14.80667	-11.6667	-8.73844	-5.28013	-2.48786
77.76	-26.99111	-24.01494	-20.96508	-17.21964	-14.88707	-11.58969	-8.73881	-5.47627	-2.64619
77.808	-26.95497	-24.03153	-20.98983	-17.40693	-14.7804	-11.50846	-8.56626	-5.61092	-2.69706
77.856	-26.92059	-24.04705	-21.04853	-17.63745	-14.79379	-11.12925	-8.42836	-5.74256	-2.61454
77.904	-26.94881	-24.08565	-21.03899	-17.78521	-14.76117	-10.79837	-8.11773	-5.67366	-2.55977
77.952	-26.99255	-24.07758	-20.95378	-17.86398	-14.68643	-10.51748	-7.93062	-5.5954	-2.40144
78	-26.9584	-24.04974	-20.94321	-17.90467	-14.72466	-10.54343	-7.60113	-5.48207	-2.15887
78.048	-26.92328	-24.01851	-20.9901	-17.90087	-14.67248	-10.46062	-7.50368	-5.49564	-2.12194
78.096	-26.92916	-23.99756	-20.9907	-17.9156	-14.42079	-10.5381	-7.15325	-5.35886	-2.12431
78.144	-26.9552	-24.01105	-21.01137	-17.76186	-14.17655	-10.99358	-7.19277	-5.06968	-2.05369
78.192	-26.9489	-23.98454	-21.01795	-17.30828	-13.53415	-11.35125	-7.4118	-5.12162	-2.02278
78.24	-26.97559	-23.99956	-20.99103	-17.02303	-13.21388	-11.484	-7.55414	-5.03775	-1.83044
78.288	-26.95627	-24.03287	-20.97857	-16.88046	-13.07867	-11.64969	-7.71187	-4.84634	-1.78309
78.336	-26.94473	-24.04506	-21.02453	-17.02836	-13.36262	-11.73194	-7.9543	-4.96593	-1.71382
78.384	-26.86513	-24.04112	-21.01049	-17.1739	-13.87592	-11.7211	-8.21841	-4.60317	-1.83012
78.432	-26.91985	-24.00762	-21.03389	-17.46132	-14.31255	-11.67254	-8.40598	-4.55525	-1.65756
78.48	-26.94696	-24.01749	-21.05623	-17.72734	-14.56494	-11.64854	-8.55222	-4.48969	-1.52189
78.528	-26.91072	-23.956	-21.0439	-17.86079	-14.79008	-11.54618	-8.66055	-4.5022	-1.5882
78.576	-26.90122	-24.00609	-20.97458	-17.90235	-14.85551	-11.40277	-8.57687	-4.55993	-1.73147
78.624	-26.92717	-23.99696	-20.93723	-17.90439	-14.8715	-11.32595	-8.38031	-4.62402	-1.8462
78.672	-26.97063	-24.0148	-20.99247	-17.88155	-14.81001	-11.08671	-8.3862	-4.74834	-1.83614
78.72	-26.94927	-24.02189	-21.037	-17.72201	-14.82437	-10.99576	-8.33152	-4.95694	-1.87391
78.768	-26.89089	-24.05854	-21.02296	-17.53189	-14.83244	-10.66191	-8.13835	-4.94545	-2.14228
78.816	-26.91086	-24.06985	-21.0047	-16.85812	-14.63922	-10.23756	-7.92747	-4.89633	-2.37929
78.864	-26.86879	-24.07763	-20.98589	-16.71916	-14.37603	-10.08943	-7.76807	-4.77665	-2.37591
78.912	-26.8794	-23.99891	-20.96309	-16.81577	-13.93083	-10.11171	-7.76428	-4.77053	-2.30631
78.96	-26.92532	-24.01865	-20.85689	-16.83199	-13.72139	-10.06658	-7.62772	-5.03418	-2.35853
79.008	-26.9515	-24.04265	-20.81875	-17.30925	-13.32226	-10.1429	-7.45345	-5.18751	-2.30427
79.056	-26.9439	-24.03509	-20.85855	-17.58759	-13.49245	-10.36971	-7.53408	-5.20521	-2.37503
79.104	-26.96012	-24.01827	-20.80564	-17.67859	-13.71667	-10.63151	-7.50035	-5.00976	-2.42039
79.152	-26.92546	-24.02129	-20.81264	-17.69245	-14.05663	-10.91573	-7.55697	-4.95513	-2.53864
79.2	-26.90377	-24.04362	-20.80782	-17.7329	-14.36384	-11.16697	-7.54589	-4.92265	-2.5645
79.248	-26.96517	-24.04334	-20.88492	-17.59686	-14.58241	-11.27558	-7.3422	-4.9208	-2.37591
